,link,subject
78,https://scholar.google.com//citations?user=fU64jtMAAAAJ&hl=en,label:physics
79,https://scholar.google.com//citations?user=MfS2Ip4AAAAJ&hl=en,label:physics
80,https://scholar.google.com//citations?user=zyRy7ngAAAAJ&hl=en,label:physics
81,https://scholar.google.com//citations?user=my0M21kAAAAJ&hl=en,label:physics
82,https://scholar.google.com//citations?user=zWxqzzAAAAAJ&hl=en,label:physics
83,https://scholar.google.com//citations?user=NMMyQ2gAAAAJ&hl=en,label:physics
84,https://scholar.google.com//citations?user=NWKOsDQAAAAJ&hl=en,label:physics
85,https://scholar.google.com//citations?user=gR7u6gcAAAAJ&hl=en,label:physics
86,https://scholar.google.com//citations?user=W_ZpqUwAAAAJ&hl=en,label:physics
87,https://scholar.google.com//citations?user=QiG22Z4AAAAJ&hl=en,label:physics
88,https://scholar.google.com//citations?user=5YAIGe0AAAAJ&hl=en,label:physics
89,https://scholar.google.com//citations?user=U_6VnTkAAAAJ&hl=en,label:physics
90,https://scholar.google.com//citations?user=CmpEzW8AAAAJ&hl=en,label:physics
91,https://scholar.google.com//citations?user=EYR6R8gAAAAJ&hl=en,label:physics
92,https://scholar.google.com//citations?user=2jL6qk0AAAAJ&hl=en,label:physics
93,https://scholar.google.com//citations?user=vsf3WR8AAAAJ&hl=en,label:physics
94,https://scholar.google.com//citations?user=EW3q37kAAAAJ&hl=en,label:physics
95,https://scholar.google.com//citations?user=UHeeSJwAAAAJ&hl=en,label:physics
96,https://scholar.google.com//citations?user=vZXxTu0AAAAJ&hl=en,label:physics
97,https://scholar.google.com//citations?user=xaQv2AgAAAAJ&hl=en,label:physics
98,https://scholar.google.com//citations?user=lB4qdkMAAAAJ&hl=en,label:physics
99,https://scholar.google.com//citations?user=sjquTzQAAAAJ&hl=en,label:physics
100,https://scholar.google.com//citations?user=N0B4HroAAAAJ&hl=en,label:physics
101,https://scholar.google.com//citations?user=IfRxX5gAAAAJ&hl=en,label:physics
102,https://scholar.google.com//citations?user=njSOe-cAAAAJ&hl=en,label:physics
103,https://scholar.google.com//citations?user=6D8m4OIAAAAJ&hl=en,label:physics
104,https://scholar.google.com//citations?user=ljYFe1QAAAAJ&hl=en,label:physics
105,https://scholar.google.com//citations?user=spq1_qEAAAAJ&hl=en,label:physics
106,https://scholar.google.com//citations?user=eBXEZxgAAAAJ&hl=en,label:physics
107,https://scholar.google.com//citations?user=EgTvMpsAAAAJ&hl=en,label:physics
108,https://scholar.google.com//citations?user=5FPqkUgAAAAJ&hl=en,label:physics
109,https://scholar.google.com//citations?user=lj1F5tUAAAAJ&hl=en,label:physics
110,https://scholar.google.com//citations?user=NjCthXMAAAAJ&hl=en,label:physics
111,https://scholar.google.com//citations?user=BxA1L-0AAAAJ&hl=en,label:physics
112,https://scholar.google.com//citations?user=C8npjugAAAAJ&hl=en,label:physics
113,https://scholar.google.com//citations?user=3q_4Pk0AAAAJ&hl=en,label:physics
114,https://scholar.google.com//citations?user=pMchlccAAAAJ&hl=en,label:physics
115,https://scholar.google.com//citations?user=ebybQUsAAAAJ&hl=en,label:physics
116,https://scholar.google.com//citations?user=1CE2nIgAAAAJ&hl=en,label:physics
117,https://scholar.google.com//citations?user=kkK7BFMAAAAJ&hl=en,label:physics
118,https://scholar.google.com//citations?user=rPkuFfUAAAAJ&hl=en,label:physics
119,https://scholar.google.com//citations?user=ekF2X34AAAAJ&hl=en,label:physics
120,https://scholar.google.com//citations?user=0Dt1AtUAAAAJ&hl=en,label:physics
121,https://scholar.google.com//citations?user=nYoDPMEAAAAJ&hl=en,label:physics
122,https://scholar.google.com//citations?user=dW7WXMwAAAAJ&hl=en,label:physics
123,https://scholar.google.com//citations?user=LmlN90sAAAAJ&hl=en,label:physics
124,https://scholar.google.com//citations?user=0A7rwlQAAAAJ&hl=en,label:physics
125,https://scholar.google.com//citations?user=MifxHQgAAAAJ&hl=en,label:physics
126,https://scholar.google.com//citations?user=75HImZgAAAAJ&hl=en,label:physics
127,https://scholar.google.com//citations?user=YvzwXpoAAAAJ&hl=en,label:physics
128,https://scholar.google.com//citations?user=lCm6xTYAAAAJ&hl=en,label:physics
129,https://scholar.google.com//citations?user=NK94F4kAAAAJ&hl=en,label:physics
130,https://scholar.google.com//citations?user=FoFEI5MAAAAJ&hl=en,label:physics
131,https://scholar.google.com//citations?user=kCs25dYAAAAJ&hl=en,label:physics
132,https://scholar.google.com//citations?user=S2O25-MAAAAJ&hl=en,label:physics
133,https://scholar.google.com//citations?user=P05j1WwAAAAJ&hl=en,label:physics
134,https://scholar.google.com//citations?user=E8lU7V8AAAAJ&hl=en,label:physics
135,https://scholar.google.com//citations?user=UZ7ta1EAAAAJ&hl=en,label:physics
136,https://scholar.google.com//citations?user=iBOgIvsAAAAJ&hl=en,label:physics
137,https://scholar.google.com//citations?user=xJf5H2AAAAAJ&hl=en,label:physics
138,https://scholar.google.com//citations?user=89qN_8gAAAAJ&hl=en,label:physics
139,https://scholar.google.com//citations?user=8qPploUAAAAJ&hl=en,label:physics
140,https://scholar.google.com//citations?user=dKIQnXMAAAAJ&hl=en,label:physics
141,https://scholar.google.com//citations?user=A-RDCxcAAAAJ&hl=en,label:physics
142,https://scholar.google.com//citations?user=dVtNQB4AAAAJ&hl=en,label:physics
143,https://scholar.google.com//citations?user=BhnWqqkAAAAJ&hl=en,label:physics
144,https://scholar.google.com//citations?user=K3hU1ycAAAAJ&hl=en,label:physics
145,https://scholar.google.com//citations?user=ma8Y_ZcAAAAJ&hl=en,label:physics
146,https://scholar.google.com//citations?user=vuJL4QwAAAAJ&hl=en,label:physics
147,https://scholar.google.com//citations?user=KXZLaoMAAAAJ&hl=en,label:physics
148,https://scholar.google.com//citations?user=HYviR7oAAAAJ&hl=en,label:physics
149,https://scholar.google.com//citations?user=17Lc6qQAAAAJ&hl=en,label:physics
150,https://scholar.google.com//citations?user=KgE0_U4AAAAJ&hl=en,label:physics
151,https://scholar.google.com//citations?user=Z01bVHYAAAAJ&hl=en,label:physics
152,https://scholar.google.com//citations?user=jGboazkAAAAJ&hl=en,label:physics
153,https://scholar.google.com//citations?user=lckGfAIAAAAJ&hl=en,label:physics
154,https://scholar.google.com//citations?user=cCAGgZsAAAAJ&hl=en,label:physics
155,https://scholar.google.com//citations?user=1j1w5V4AAAAJ&hl=en,label:physics
156,https://scholar.google.com//citations?user=nYyulBcAAAAJ&hl=en,label:physics
157,https://scholar.google.com//citations?user=K_VMsBoAAAAJ&hl=en,label:physics
158,https://scholar.google.com//citations?user=eQRHK8EAAAAJ&hl=en,label:physics
159,https://scholar.google.com//citations?user=tzM7c2cAAAAJ&hl=en,label:physics
160,https://scholar.google.com//citations?user=aMa7MvsAAAAJ&hl=en,label:physics
161,https://scholar.google.com//citations?user=47Lv6AsAAAAJ&hl=en,label:physics
162,https://scholar.google.com//citations?user=fuEA7QcAAAAJ&hl=en,label:physics
163,https://scholar.google.com//citations?user=kX5_lc8AAAAJ&hl=en,label:physics
164,https://scholar.google.com//citations?user=mF_qs5sAAAAJ&hl=en,label:physics
165,https://scholar.google.com//citations?user=AruD24EAAAAJ&hl=en,label:physics
166,https://scholar.google.com//citations?user=3QtEtlYAAAAJ&hl=en,label:physics
167,https://scholar.google.com//citations?user=u030WbkAAAAJ&hl=en,label:physics
168,https://scholar.google.com//citations?user=zAQR1BwAAAAJ&hl=en,label:physics
169,https://scholar.google.com//citations?user=QgbWAIcAAAAJ&hl=en,label:physics
170,https://scholar.google.com//citations?user=si5LCNIAAAAJ&hl=en,label:physics
171,https://scholar.google.com//citations?user=VWRRrpUAAAAJ&hl=en,label:physics
172,https://scholar.google.com//citations?user=IveSRnUAAAAJ&hl=en,label:physics
173,https://scholar.google.com//citations?user=PtgELH8AAAAJ&hl=en,label:physics
174,https://scholar.google.com//citations?user=ty6PIEwAAAAJ&hl=en,label:physics
175,https://scholar.google.com//citations?user=RTpEXk0AAAAJ&hl=en,label:physics
176,https://scholar.google.com//citations?user=ZX2C8mMAAAAJ&hl=en,label:physics
177,https://scholar.google.com//citations?user=WNZeg7cAAAAJ&hl=en,label:physics
178,https://scholar.google.com//citations?user=46umSWsAAAAJ&hl=en,label:physics
179,https://scholar.google.com//citations?user=jZnDpMkAAAAJ&hl=en,label:physics
180,https://scholar.google.com//citations?user=iQlyLkEAAAAJ&hl=en,label:physics
181,https://scholar.google.com//citations?user=eUDZt2EAAAAJ&hl=en,label:physics
182,https://scholar.google.com//citations?user=8B4xjdYAAAAJ&hl=en,label:physics
183,https://scholar.google.com//citations?user=N-LeCJ4AAAAJ&hl=en,label:physics
184,https://scholar.google.com//citations?user=RxA7AFoAAAAJ&hl=en,label:physics
185,https://scholar.google.com//citations?user=SirKcyMAAAAJ&hl=en,label:physics
186,https://scholar.google.com//citations?user=eifJXIEAAAAJ&hl=en,label:physics
187,https://scholar.google.com//citations?user=-NJqy7oAAAAJ&hl=en,label:physics
188,https://scholar.google.com//citations?user=Ezd6xKUAAAAJ&hl=en,label:physics
189,https://scholar.google.com//citations?user=HDBoqvYAAAAJ&hl=en,label:physics
190,https://scholar.google.com//citations?user=-K_z1KwAAAAJ&hl=en,label:physics
