,H_index,H_index_5,I_index,I_index_5,prof_insti,prof_name,tot_citations,tot_citations_5
180,100,51,488,289,VU University Amsterdam,Rienk van Grondelle,38702,13827
181,99,58,456,290,ETH Zurich,Ursula Keller,38573,15175
182,9,5,8,3,NA,James D Pack,38562,21052
183,79,51,155,112,University of Minnesota Duluth,Alec Habig,38468,11126
184,100,44,309,149,Imperial College,Peter Knight,38341,9078
185,104,73,286,238,University of Colorado,Jun Ye,38212,20658
186,92,60,319,191,Nagoya University,Shin'ichi NOJIRI,38190,17978
187,94,81,201,182,NA,Riccardo Rando,38168,25726
188,89,60,372,244,Cambridge University,N.Wyn Evans,38163,18229
189,96,60,320,215,Hebrew University,Tsvi Piran,38107,13239
190,95,82,185,184,NA,Luigi Tibaldo,38058,26198
191,97,85,287,197,University of Cape Town,Jean Cleymans,37906,26629
192,83,50,769,407,Tel Aviv University,Boris Malomed,37823,15501
193,77,58,229,166,Homepage,Luca Gammaitoni,37218,25693
194,68,36,181,105,NA,Niels Bohr,37177,8649
195,95,87,322,307,Horia Hulubei National Institute of Physics and Nuclear Engineering,Sabin Stoica,36730,32290
196,83,55,236,173,Clemson University,Apparao M Rao,36645,11337
197,95,39,286,114,Stony Brook University,Sacha Kopp,36512,7859
198,89,45,176,123,ENS,Serge Haroche,36331,10196
199,85,33,197,96,MIT,Robert Jaffe,35904,5789
200,76,56,140,122,University of Maryland,Christopher Monroe,35742,15463
201,85,65,299,228,NA,Fulvio Ricci,35675,26834
202,48,39,61,57,National Research Council Canada,Claudiu Cojocaru,35264,24764
203,98,65,429,317,Harvard University,Abraham Loeb,35046,16111
204,66,55,227,148,INFN,Eugenio Coccia,34975,28084
205,80,49,227,164,NA,Dong Myung Shin,34910,16188
206,78,51,176,150,Aarhus,Bjørk Hammer,34879,16036
207,94,62,215,176,Caltech,David Reitze,34121,25268
208,67,29,217,70,Homepage,Боголюбов Николай Николаевич,34042,5707
209,85,46,369,206,MIT,E A Fitzgerald,27771,8484
210,65,63,259,248,Scuola Normale Superiore,Pietro Marino,27561,25234
211,69,41,168,91,CRG,Marco Musy,27209,11563
212,82,44,335,167,Chalmers,Bengt Nordén,27039,6967
213,70,53,184,130,NA,Antoine Georges,25765,11182
214,77,42,267,142,Arizona State University,Stuart Lindsay,25575,8432
215,78,54,306,162,University of Jyvaskyla,Juha Äystö,25282,15239
216,86,51,414,236,Friedrich Schiller Universität Jena,Friedhelm Bechstedt,28218,11261
217,17,16,26,24,NA,yunye liang,27383,7481
218,75,40,279,168,University of Basel,Meyer Ernst,25226,7616
219,78,29,202,85,NA,Rudolf Tromp,25186,4850
220,81,43,298,154,University of California Davis,Warren E. Pickett,25117,6534
221,63,46,635,422,Homepage,Teon Mc Lu Chang Tsai,24963,14837
222,81,49,444,259,NA,Alois Loidl,26757,10318
223,89,59,278,232,NA,David Jaffray,26617,12934
224,77,61,111,110,"California State University, Los Angeles",Bijan Berenji,26600,15689
225,67,42,156,99,University of Exeter,William L Barnes,27011,12101
226,57,32,186,81,NA,H. Helmholtz,26554,6967
227,65,52,505,335,NA,Zhenxiong Wu,26524,16582
228,82,34,240,106,Google,Chris Roat,26381,6125
229,69,37,116,74,NA,David Hardtke,26252,6793
230,88,86,286,282,NA,Bogdan Popovici,26261,24149
231,52,31,119,61,Universidad Autonoma de Madrid,Jose M. Soler,26133,10283
232,66,60,125,123,NA,Katherine Dooley,25748,22872
233,85,34,202,88,NA,Adel Trabelsi,24958,4971
234,24,16,29,17,NA,Andrea Di Simone,25703,17573
235,71,49,308,179,"Indian Institute of Science Education and Research, Pune",Satishchandra B. Ogale,25653,11856
236,73,36,288,114,Duke University,Berndt Mueller,25635,6920
237,76,27,153,70,NA,Dejan Vučinić,24853,4529
238,74,41,184,120,University of Twente,Palstra Thomas,24683,6226
239,58,54,153,124,NA,Flavio Travasso,24441,21569
